time	clg	htg
hr 	btu	btu
354	5921	-790753
355	5807	-793903
356	4571	-758896
357	4157	-763534
358	4157	-776541
359	4157	-796363
360	4157	-809190
361	4157	-837051
362	4157	-844575
363	4157	-889897
364	4157	-858737
365	4157	-839927
366	4157	-648034
367	4176	-645906
368	15026	-770707
369	47196	-657466
370	4991	-522554
371	3991	-465554
372	4104	-455012
373	3872	-445945
374	2520	-395843
375	1052	-372148
376	2092	-386945
377	5004	-452583
378	43151	-601421
379	28851	-631486
380	24892	-643274
381	22619	-675163
382	12571	-768944
383	7582	-817300
384	5935	-879923
385	5362	-904801
386	5173	-891799
387	5060	-911739
388	4978	-921202
389	4909	-976584
390	4848	-776157
391	5644	-768099
392	26787	-854651
393	4434	-641225
394	0	-506358
395	0	-413256
396	0	-376360
397	0	-356730
398	0	-307043
399	0	-276181
400	0	-299817
401	0	-390597
402	5442	-528897
403	39722	-670468
404	33744	-657636
405	30935	-736775
406	18784	-756770
407	10592	-805833
408	8022	-795353
409	7358	-816363
410	7083	-790992
411	6886	-808665
412	6724	-834810
413	6578	-832393
414	6442	-705451
415	7201	-731186
416	37219	-858178
417	0	-639594
418	0	-500467
419	0	-416244
420	0	-380298
421	0	-361451
422	0	-320458
423	0	-290759
424	0	-323860
425	0	-410560
426	4013	-553784
427	46141	-692188
428	37984	-865172
429	34696	-961411
430	22419	-1008380
431	13002	-1041970
432	8953	-1017440
433	7904	-990237
434	7604	-983778
435	7386	-949934
436	7201	-956453
437	7035	-966914
438	6880	-647583
439	7697	-617648
440	41243	-698611
441	0	-435807
442	0	-330845
443	0	-287861
444	0	-282358
445	0	-258100
446	0	-226321
447	0	-200120
448	0	-218305
449	0	-275456
450	1891	-390586
451	6240	-470612
452	45357	-474370
453	39880	-524318
454	24952	-601201
455	14867	-675434
456	9728	-723012
457	8135	-722319
458	7690	-671420
459	7411	-647908
460	7167	-640455
461	6961	-635868
462	6781	-628353
463	6622	-665827
464	21490	-757669
465	23374	-708521
466	20938	-678484
467	19583	-669169
468	18455	-675672
469	17498	-664632
470	15170	-514475
471	14093	-535607
472	13386	-569123
473	12649	-837588
474	11893	-906979
475	11156	-860833
476	5894	-813866
477	4157	-767051
478	4157	-746065
479	4157	-726600
480	4157	-706027
481	4157	-758052
482	4157	-804503
483	4157	-858989
484	4157	-856650
485	4157	-883469
486	4157	-879014
487	4157	-862582
488	9815	-815317
489	10491	-758739
490	9660	-716212
491	9280	-691821
492	8982	-666792
