time	clg	htg
hr 	btu	btu
288	9482.29	-596580
289	8153.97	-616993
290	7760.7	-621810
291	7465.12	-636116
292	7231.6	-647558
293	7028.26	-637416
294	6843.87	-646787
295	6683.28	-671209
296	21086.7	-715977
297	22857.2	-682239
298	20475.8	-667416
299	19144.9	-648930
300	18030.1	-641485
301	17085.6	-621889
302	14720.5	-471117
303	13645.1	-477729
304	12959.4	-505879
305	12239.3	-696674
306	11501.6	-752225
307	10792.4	-765072
308	5803.64	-752937
309	4157.3	-770772
310	4157.3	-754619
311	4157.3	-768568
312	4157.3	-749947
313	4157.3	-767805
314	4157.3	-760381
315	4157.3	-778058
316	4157.3	-790137
317	4157.3	-823990
318	4157.3	-836878
319	4157.3	-900697
320	9951.55	-855159
321	10637.2	-801820
322	9777.21	-759742
323	9385.62	-737027
324	9080.2	-738249
325	8830.55	-696030
326	7947.02	-540114
327	7624.13	-540584
328	7505	-564991
329	7353.77	-791482
330	7183.21	-805379
331	7018.4	-803304
332	4876.3	-760297
333	4157.3	-752736
334	4157.3	-770329
335	4157.3	-829227
336	4157.3	-848699
337	4157.3	-888250
338	4157.3	-904289
339	4157.3	-943817
340	4157.3	-866787
341	4157.3	-779943
342	4157.3	-702752
343	4157.3	-750002
344	6851.37	-882618
345	7453.03	-831130
346	7155.34	-809131
347	6986.6	-790582
348	6840.75	-782074
349	6724.84	-761716
350	6382.33	-587057
351	6241.65	-588720
352	6154.37	-616514
353	6046.52	-778378
354	5921.46	-790753
355	5806.57	-793903
356	4570.65	-758896
357	4157.3	-763534
358	4157.3	-776541
359	4157.3	-796363
360	4157.3	-809190
361	4157.3	-837051
362	4157.3	-844575
363	4157.3	-889897
364	4157.3	-858737
365	4157.3	-839927
366	4157.3	-648034
367	4175.65	-645906
368	15026.4	-770707
369	47196.4	-657466
370	0	-536234.9004
371	0	-483730.6344
372	0	-472599.0237
373	0	-464528.6113
374	0	-419819.0622
375	0	-401663.4882
376	0	-412567.3449
377	0	-465807.0463
378	43150.6	-601421
379	28851.3	-631486
380	24891.7	-643274
381	22618.9	-675163
382	12570.7	-768944
383	7581.83	-817300
384	5935.29	-879923
385	5361.66	-904801
386	5173.14	-891799
387	5060.33	-911739
388	4978.05	-921202
389	4909.1	-976584
390	4847.57	-776157
391	5644.33	-768099
392	26786.8	-854651
393	0	-657605.4026
394	0	-543985.2258
395	0	-459644.6853
396	0	-421170.2565
397	0	-402190.8437
398	0	-358308.0022
399	0	-332801.2807
400	0	-351840.3864
401	0	-424913.522
402	0	-539949.1517
403	39722.3	-670468
404	33743.6	-657636
405	30934.6	-736775
406	18783.6	-756770
407	10591.5	-805833
408	8021.96	-795353
409	7357.95	-816363
410	7082.63	-790992
411	6886.3	-808665
412	6723.57	-834810
413	6577.74	-832393
414	6441.99	-705451
415	7200.85	-731186
416	37219.3	-858178
417	0	-674870.569
418	0	-556401.631
419	0	-481407.6535
420	0	-442433.4457
421	0	-423170.0253
422	0	-387718.8967
423	0	-362921.1059
424	0	-390165.4125
425	0	-456390.6918
426	0	-572123.1851
427	46140.6	-692188
428	37984.4	-865172
429	34695.7	-961411
430	22418.8	-1008380
431	13001.5	-1041970
432	8953.48	-1017440
433	7903.59	-990237
434	7604.22	-983778
435	7385.6	-949934
436	7201.11	-956453
437	7034.54	-966914
438	6879.6	-647583
439	7697.38	-617648
440	41243	-698611
441	0	-482379.3904
442	0	-402985.5219
443	0	-369322.8199
444	0	-359676.849
445	0	-334367.1379
446	0	-308190.9566
447	0	-286830.3059
448	0	-298475.1647
449	0	-333090.0411
450	0	-419087.0115
451	0	-478567.8789
452	45356.9	-474370
453	39880.3	-524318
454	24952.4	-601201
455	14866.7	-675434
456	9727.61	-723012
457	8135.33	-722319
458	7690.33	-671420
459	7411.26	-647908
460	7167.44	-640455
461	6961.16	-635868
462	6780.54	-628353
463	6621.73	-665827
464	21489.5	-757669
465	23374	-708521
466	20938.3	-678484
467	19583.1	-669169
468	18455.2	-675672
469	17497.7	-664632
470	15170.1	-514475
471	14092.5	-535607
472	13386.1	-569123
473	12648.8	-837588
474	11892.6	-906979
475	11156	-860833
476	5894.42	-813866
477	4157.3	-767051
478	4157.3	-746065
479	4157.3	-726600
480	4157.3	-706027
481	4157.3	-758052
482	4157.3	-804503
483	4157.3	-858989
484	4157.3	-856650
485	4157.3	-883469
486	4157.3	-879014
487	4157.3	-862582
488	9814.56	-815317
489	10491.4	-758739
490	9659.64	-716212
491	9280.37	-691821
492	8982.18	-666792
493	8737.56	-657456
494	7899.5	-505537
495	7588.38	-511730
496	7469.15	-548070
497	7319.57	-788671
498	7149.1	-822560
499	6984.33	-819974
500	4867.58	-813972
501	4157.3	-807821
502	4157.3	-797229
503	4157.3	-790710
504	4157.3	-775526
505	4157.3	-801554
506	4157.3	-806056
507	4157.3	-844721
508	4157.3	-831371
509	4157.3	-790451
510	4157.3	-640064
511	4157.3	-626562
512	17629.6	-733705
513	0	-569806.5778
514	0	-477735.519
515	0	-417777.9037
516	0	-393817.6206
517	0	-385144.381
518	0	-361780.0996
519	0	-351399.5322
520	0	-370988.693
521	0	-418686.3323
522	0	-499200.8673
523	33692.1	-585050
524	29064.9	-544056
525	26611.6	-600219
526	14628.6	-635209
527	8316.14	-650962
528	6430.62	-657302
529	5843.03	-664858
530	5641.1	-644831
531	5515.06	-650142
532	5419.21	-735040
533	5337.01	-796804
534	5260.15	-630973
535	6042.44	-596273
536	31741.8	-679194
537	0	-468516.6755
538	0	-401774.0507
539	0	-374872.7006
540	0	-362326.9006
541	0	-360170.2748
542	0	-335265.5476
543	0	-320103.0172
544	0	-331535.1429
545	0	-374440.2168
546	0	-461021.6766
547	43660	-553942
548	36090.5	-510681
549	33103.9	-525739
550	20917.7	-554254
551	11602.1	-556369
552	8308.34	-557829
553	7527.66	-564189
554	7250.22	-554693
555	7051.25	-556265
556	6886.17	-560734
557	6737.08	-591543
558	6598.9	-516521
559	7398.5	-499328
560	39873.5	-593984
561	0	-379107.0283
562	0	-310416.4741
563	0	-279045.5552
564	0	-284053.7934
565	0	-271936.1848
566	0	-251195.3649
567	0	-234468.8776
568	0	-252744.9826
569	0	-303680.1984
570	0	-394320.7098
571	0	-446588.4037
572	45680.3	-426135
573	40235.5	-438276
574	24617.7	-464356
575	14326.4	-491494
576	9379.09	-500367
577	8026.11	-506344
578	7730.84	-528697
579	7513.24	-535565
580	7341.96	-562441
581	7187.06	-568472
582	7040	-498366
583	7858.83	-480150
584	46832	-570507
585	0	-344739.6587
586	0	-269219.9674
587	0	-233210.4177
588	0	-231495.3495
589	0	-234476.9598
590	0	-223617.0645
591	0	-214220.9152
592	0	-228071.128
593	0	-276376.8595
594	0	-366989.1688
595	0	-431796.0279
596	0	-400663.7549
597	45542.8	-507592
598	26906	-540291
599	15615.5	-565864
600	10461.8	-566745
601	8480.67	-574305
602	7916.3	-580701
603	7674.74	-586409
604	7494.23	-581813
605	7330.98	-602195
606	7179.23	-488903
607	7994.71	-497369
608	0	-553735.6434
609	0	-379294.2627
610	0	-300331.5183
611	0	-260486.0155
612	0	-268947.4063
613	0	-266533.0651
614	0	-243292.8441
615	0	-232833.2438
616	0	-260803.8651
617	0	-334812.3686
618	0	-458198.6909
619	0	-535380.34
620	0	-694460.2149
621	45678.1	-812427
622	27319.2	-830790
623	16154.1	-806221
624	10985.2	-766677
625	8882.3	-799901
626	7889.89	-834505
627	7465.83	-858774
628	7231.41	-881776
629	7026.76	-893651
630	6841.81	-914983
631	6678.48	-950871
632	22632.8	-913808
633	24728.1	-853359
634	22171.9	-798576
635	20754.4	-737976
636	19586.2	-706984
637	18596.9	-679683
638	16172.7	-512359
639	15050.9	-519538
640	14323.6	-548725
641	13567.7	-767733
642	12792.5	-848084
643	12045	-840562
644	6120.54	-834114
645	4157.3	-822609
646	4157.3	-803117
647	4157.3	-820653
648	4157.3	-801161
649	4157.3	-911708
650	4157.3	-1039130
651	4157.3	-1111970
652	4157.3	-1051530
653	4157.3	-1017430
654	4157.3	-967571
655	4157.3	-983324
656	9954.37	-888355
657	10640.5	-843213
658	9786.64	-802792
659	9395.74	-779461
660	9090.31	-740019
661	8839.48	-726327
662	7945.22	-556060
663	7619.98	-573003
664	7502.81	-572744
665	7349.13	-701938
666	7176.01	-673581
667	7014.4	-710645
668	4875.58	-710883
669	4157.3	-742816
670	4157.3	-803888
671	4157.3	-888014
672	4157.3	-942330
673	4157.3	-882547
674	4157.3	-867487
675	4157.3	-811681
676	4157.3	-828126
677	4157.3	-829852
678	4157.3	-646264
679	4157.3	-627278
680	18419.2	-712660
681	0	-528520.2197
682	0	-439762.4
683	0	-380544.1838
684	0	-359092.988
685	0	-363000.8462
686	0	-356526.5078
687	0	-357757.3688
688	0	-374701.4743
689	0	-414363.5237
690	0	-498102.6935
691	34246.5	-586705
692	29619.5	-587161
693	27145.1	-646812
694	15142.7	-655223
695	8455.59	-642471
696	6443.35	-616895
697	5856.12	-646716
698	5655.85	-683668
699	5530.15	-714872
700	5432.62	-723593
701	5347.35	-753019
702	5270.72	-583076
703	6054.35	-575968
704	31709.9	-679024
705	0	-500221.4362
706	0	-416814.1779
707	0	-372078.6608
708	0	-358885.9429
709	0	-351793.5008
710	0	-298431.4786
711	0	-282340.6806
712	0	-285167.9858
713	0	-335030.0917
714	0	-429736.7889
715	44456.8	-527943
716	36462.9	-454183
717	33431	-485299
718	21243.2	-541871
719	11922.9	-594404
720	8399.67	-631437
721	7538.17	-665389
722	7257.34	-692476
723	7054.67	-721756
724	6885.2	-768843
725	6732.19	-792503
726	6826.12	-606482
727	7466.78	-593051
728	39924.6	-691098
729	0	-488355.5233
730	0	-404842.6503
731	0	-357994.1372
732	0	-348905.8015
733	0	-331827.4284
734	0	-307893.4596
735	0	-284486.046
736	0	-305789.1644
737	0	-348935.806
738	0	-452274.7139
739	0	-507854.9793
740	45260.2	-614711
741	39844.6	-655501
742	24591.1	-715576
743	14410	-742385
744	9375.01	-743127
745	7990.43	-763612
746	7693.26	-770099
747	7474.47	-775459
748	7288.45	-775782
749	7135.51	-777731
750	6992.37	-609289
751	7814.54	-595135
752	43707.1	-688402
753	0	-447272.9451
754	0	-351390.1237
755	0	-301209.9261
756	0	-290920.4388
757	0	-279042.9608
758	0	-251036.8007
759	0	-225815.2523
760	0	-255006.4251
761	0	-320018.0702
762	0	-434223.8948
763	0	-501965.8957
764	0	-513491.3723
765	42352.6	-588996
766	25914.7	-658453
767	15329.4	-682162
768	10165.2	-722939
769	8295.15	-746808
770	7855.75	-799865
771	7642.97	-823077
772	7459.84	-813752
773	7293.72	-790800
774	7140.76	-637768
775	7959.61	-619433
776	45848.6	-705826
777	0	-487764.8705
778	0	-416692.5907
779	0	-383055.935
780	0	-377532.5885
781	0	-367581.8545
782	0	-330048.9592
783	0	-323969.6542
784	0	-338832.5735
785	0	-384796.0287
786	0	-477679.2907
787	0	-543286.1931
788	0	-601498.6766
789	43329.9	-712968
790	26561.8	-735906
791	15829.5	-741137
792	10658	-721679
793	8549.26	-759297
794	7800.43	-798743
795	7459.19	-822092
796	7223.24	-819969
797	7017.43	-833665
798	6831.43	-826467
799	6668.04	-794109
800	22244.9	-758296
801	24259.8	-682999
802	21749.3	-651448
803	20354.6	-633061
804	19195.4	-628825
805	18207.6	-630219
806	15792.7	-492401
807	14671.1	-512026
808	13940.7	-525306
809	13177.5	-717353
810	12398.3	-728373
811	11650.2	-720806
812	6019.85	-660809
813	4157.3	-650684
814	4157.3	-628111
815	4157.3	-631247
816	4157.3	-605432
817	4157.3	-584998
818	4192.55	-543073
819	4169.36	-521647
820	4157.3	-546141
821	4157.3	-574041
822	4157.3	-602457
823	4157.3	-630729
824	10043.6	-750137
825	10738.3	-712312
826	9852.68	-701419
827	9446.54	-676601
828	9130.98	-684575
829	8876.54	-670599
830	7970.48	-528054
831	7641.44	-551174
832	7521.71	-574660
833	7367.57	-870437
834	7193.7	-895398
835	7025.33	-881947
836	4877.79	-850157
837	4157.3	-825906
838	4157.3	-819478
839	4157.3	-817678
840	4157.3	-814159
841	4157.3	-819585
842	4157.3	-792658
843	4157.3	-807275
844	4157.3	-915902
845	4157.3	-1035220
846	4157.3	-804840
847	4157.3	-810698
848	17767.9	-904366
849	0	-735474.6394
850	0	-626804.0954
851	0	-547562.3835
852	0	-509554.3064
853	0	-490179.867
854	0	-445172.363
855	0	-415475.2214
856	0	-418754.5762
857	0	-473381.1635
858	0	-566357.3869
859	33627.4	-663395
860	29013.6	-729772
861	26541.4	-820601
862	14533.1	-866494
863	8293.42	-859878
864	6433.45	-850912
865	5844.49	-871811
866	5642.69	-915430
867	5515.98	-936580
868	5417.36	-945820
869	5331.52	-967369
870	5253.88	-770339
871	6037.5	-750505
872	31455.2	-821671
873	0	-598638.472
874	0	-501951.5495
875	0	-442265.4896
876	0	-423333.986
877	0	-407598.5928
878	0	-372486.1286
879	0	-350931.1581
880	0	-352267.5771
881	0	-396197.8845
882	0	-492906.0074
883	43028.9	-608687
884	35889.9	-632622
885	32840.3	-725050
886	20629.7	-749854
887	11290.3	-784357
888	8218.65	-768616
889	7513.63	-809515
890	7235.6	-844141
891	7035.26	-885569
892	6867.25	-859898
893	6715.44	-839724
894	6699.1	-728399
895	7413.58	-712917
896	39059.5	-804102
897	0	-568227.9685
898	0	-466051.3386
899	0	-402487.1619
900	0	-378057.9921
901	0	-368926.5589
902	0	-345831.1929
903	0	-348921.6025
904	0	-355687.2988
905	0	-416151.7021
906	0	-522060.0021
907	0	-591003.6417
908	39695.7	-764723
909	35795.5	-834857
910	23252.9	-890285
911	13817	-886157
912	9211.27	-882797
913	7975.37	-865238
914	7677.02	-819507
915	7458.65	-795220
916	7274.84	-800103
917	7120.94	-831561
918	6978.84	-625651
919	7796.65	-618764
920	42988	-707452
921	0	-469457.6996
922	0	-386299.2608
923	0	-352601.3022
924	0	-353449.346
925	0	-338740.9893
926	0	-303373.7482
927	0	-273797.4566
928	0	-293274.0626
929	0	-352528.5208
930	0	-465667.3423
931	0	-535500.4565
932	45861.1	-705969
933	40098.5	-773548
934	25151.6	-759631
935	15050.4	-723821
936	9892.86	-660862
937	8216.05	-706345
938	7843.69	-723465
939	7633.63	-772978
940	7452.91	-740558
941	7287.71	-697679
942	7135.48	-536396
943	7954.14	-517110
944	46112.9	-604314
945	0	-360887.4321
946	0	-264780.6237
947	0	-219939.2063
948	0	-211625.6034
949	0	-206267.7648
950	0	-177320.7529
951	0	-149964.6491
952	0	-168658.1066
953	0	-216061.3002
954	0	-324834.7617
955	0	-392065.2773
956	0	-353887.9207
957	45716.4	-436483
958	27124.6	-439403
959	15829.7	-460159
960	10686.8	-447595
961	8578.91	-468832
962	7857.15	-474026
963	7528.73	-486317
964	7297.87	-495788
965	7096.34	-505479
966	6913.72	-515144
967	6753.66	-532589
968	22610.5	-624980
969	24687.5	-574946
970	22044.4	-533166
971	20585.5	-508151
972	19413	-492292
973	18431.4	-488400
974	11231.8	-369777
975	13376.4	-386827
976	9665.96	-387531
977	12164	-561586
978	12976	-587105
979	12104.4	-594721
980	6126.99	-566138
981	4157.3	-566209
982	4157.3	-561131
983	4157.3	-585494
984	4157.3	-581869
985	4157.3	-569938
986	4157.3	-555325
987	4157.3	-542103
988	4157.3	-536040
989	4157.3	-546128
990	4157.3	-532641
991	4157.3	-535262
992	10621	-619797
993	11381.7	-562399
994	10407.4	-534793
995	12607.9	-508254
996	12361.7	-487527
997	12033.5	-466456
998	8132.57	-345791
999	6811.36	-345465
1000	0	-355673
1001	3028.79	-431376
1002	2960.82	-455977
1003	7157.81	-492721
1004	4997.26	-491239
1005	4157.3	-525823
1006	4157.3	-528401
1007	4157.3	-527428
1008	4157.3	-530764
1009	4157.3	-515940
1010	4157.3	-512308
1011	4157.3	-500149
1012	4157.3	-522972
1013	4157.3	-534831
1014	4171.41	-453777
1015	4162.12	-441968
1016	18480.7	-530422
1017	0	-369392.6605
1018	0	-304063.5861
1019	0	-270908.09
1020	0	-262604.1747
1021	0	-250854.0727
1022	0	-234006.0945
1023	0	-219708.3753
1024	0	-235108.6416
1025	0	-269434.7708
1026	0	-358543.3777
1027	35830.2	-448045
1028	29432.4	-403615
1029	26931.3	-445543
1030	14952.5	-501092
1031	8579.49	-540650
1032	6667.17	-576846
1033	6070.02	-612838
1034	5857.88	-646555
1035	5721.27	-680252
1036	5615.54	-714919
1037	5523.23	-736096
1038	5545.65	-511007
1039	6258.38	-490783
1040	33542.6	-581300
1041	0	-385298.7549
1042	0	-312660.4625
1043	0	-278435.3326
1044	0	-285380.6113
1045	0	-267016.7337
1046	0	-226220.6174
1047	0	-202604.4565
1048	0	-221924.1692
1049	0	-259187.7863
1050	0	-359613.7824
1051	0	-419543.6844
1052	44601.8	-506273
1053	39123.6	-562862
1054	22215.1	-589385
1055	11553.8	-596112
1056	8348.61	-577495
1057	7597.95	-599957
1058	7319.94	-617921
1059	7119.21	-643036
1060	6950.23	-661811
1061	6797.02	-679073
1062	6659.81	-519351
1063	7468.37	-515457
1064	43418.1	-610544
1065	0	-399571.8817
1066	0	-329863.4824
1067	0	-291555.542
1068	0	-299343.7888
1069	0	-299716.7876
1070	0	-261281.6926
1071	0	-249489.2554
1072	0	-274117.6959
1073	0	-325553.9464
1074	0	-442460.8609
1075	0	-512235.6137
1076	0	-565839.3642
1077	43251	-652309
1078	25107.6	-701363
1079	14026.9	-703895
1080	9298.65	-713528
1081	8020.91	-759223
1082	7724.15	-798689
1083	7503.98	-845114
1084	7329.1	-863777
1085	7169.41	-885286
1086	7019.34	-644722
1087	7839.69	-623299
1088	45700	-689157
1089	0	-444458.4671
1090	0	-342454.6736
1091	0	-293923.1768
1092	0	-277947.7536
1093	0	-267118.3122
1094	0	-228139.7649
1095	0	-202265.25
1096	0	-208756.7849
1097	0	-261754.3518
1098	0	-373643.4618
1099	0	-444105.1492
1100	0	-344098.3279
1101	44111.1	-409161
1102	26305.4	-506700
1103	15290.2	-593499
1104	10152.4	-698520
1105	8348.02	-697312
1106	7912.86	-699219
1107	7689.47	-688471
1108	7504.05	-642774
1109	7369.74	-617649
1110	7217.89	-569912
1111	8010.5	-547071
1112	46900.4	-600326
1113	0	-351947.5909
1114	0	-265236.9574
1115	0	-224789.4014
1116	0	-219014.4342
1117	0	-227969.6863
1118	0	-214229.0757
1119	0	-202556.1174
1120	0	-218956.3524
1121	0	-272035.9494
1122	0	-386809.8352
1123	0	-458395.9328
1124	0	-454774.6879
1125	44012.7	-530667
1126	26695.4	-593664
1127	15867.5	-616107
1128	10708.4	-655861
1129	8587.09	-680885
1130	7840.18	-670031
1131	7499.47	-678464
1132	7263.96	-700283
1133	7059.82	-744275
1134	6874.44	-758328
1135	6710.4	-776318
1136	22406	-759402
1137	24419.4	-717650
1138	21876.3	-687528
1139	20461	-675388
1140	19285.5	-659326
1141	18288.2	-637458
1142	15804.8	-475852
1143	14670.2	-475044
1144	13950.4	-495016
1145	13196	-687386
1146	12424.9	-718336
1147	11681.3	-724497
1148	6028.04	-696797
1149	4157.3	-701579
1150	4157.3	-688019
1151	4157.3	-667634
1152	4157.3	-650169
1153	4157.3	-635101
1154	4157.3	-629043
1155	4157.3	-610773
1156	4157.3	-628989
1157	4157.3	-616159
1158	4157.3	-631356
1159	4157.3	-613961
1160	10156.9	-691967
