"1=Loop running this hour, 0=Off"	"Net hourly loop load, including thermal losses and pump heat"	"Net hourly loop load, including thermal losses and pump heat"	Outside dry-bulb temp (F)	Rain flag (1 - rainfall)
1	135339	-484227	2	0
1	146729	-555332	4	0
1	159637	-545780	5	0
1	153729	-536251	4	0
1	124001	-481388	2	0
1	82110.6	-429993	1	0
1	55146.7	-361294	0	0
1	42114	-328132	-2	0
1	37879.7	-342603	-3	0
1	23695.7	-377014	-3	0
1	13482.8	-435817	-3	0
1	10260.5	-443499	-3	0
1	9432.21	-460982	-5	0
1	9069.65	-509359	-6	0
1	8811.01	-525991	-8	0
1	8593.45	-532533	-8	0
1	8397.58	-543585	-9	0
1	8280.87	-386629	-9	0
1	9328.92	-345960	-9	0
1	52186	-629022	-8	0
1	124890	-573734	-8	0
1	159408	-569928	-3	0
1	172417	-514765	1	0
1	169620	-406343	6	0
1	169728	-401904	7	0
1	180278	-499398	9	0
1	192354	-496202	10	0
1	185051	-501019	11	0
1	153591	-458898	11	0
1	107546	-412515	12	0
1	73611.1	-334405	14	0
1	56138.9	-330912	16	0
1	49083	-337952	18	0
1	31403	-365844	19	0
1	18708.2	-393553	21	0
1	12501	-388722	22	0
1	10279	-409385	23	0
1	9712.15	-438042	25	0
1	9427.49	-455792	26	0
1	9184.64	-431411	25	0
1	8965.26	-410849	25	0
1	8884.26	-264583	24	0
1	10382.8	-241056	24	0
1	63312.5	-495474	23	0
1	151007	-466329	23	0
1	188329	-448792	23	0
1	199521	-430217	22	0
1	195263	-327321	22	0
1	194413	-302498	23	0
1	204193	-386638	23	0
1	217740	-367151	24	0
1	206942	-386270	23	0
1	176294	-354067	21	0
1	127941	-306390	20	0
1	91121.3	-242556	18	0
1	70137.1	-241833	16	0
1	61555.4	-260484	14	0
1	37073.8	-286679	11	0
1	22003.4	-320354	9	0
1	15620.4	-311184	6	0
1	13159.4	-356590	4	0
1	12082.7	-375375	2	0
1	11293.9	-426814	0	0
1	10635.4	-390021	3	0
1	10036.9	-379233	7	0
1	9485.78	-258259	10	0
1	12786.2	-238359	13	0
1	74479.7	-489174	15	0
1	163650	-475395	18	0
1	200009	-456300	21	0
1	210781	-441791	24	0
1	204914	-334057	27	0
1	204122	-316032	29	0
1	215424	-396939	30	0
1	228527	-362479	32	0
1	213843	-369917	31	0
1	185562	-325419	30	0
1	136651	-278183	29	0
1	98839.6	-211819	29	0
1	75971.8	-213500	30	0
1	66949.4	-236705	30	0
1	40652.8	-275089	28	0
1	23784.6	-281656	27	0
1	16971.8	-279379	25	0
1	14191.7	-300146	24	0
1	12711.7	-304732	24	0
1	11693.1	-319115	23	0
1	10894.1	-330031	22	0
1	10191.2	-319691	21	0
1	9547.01	-329125	20	0
1	8983.62	-352868	20	0
1	27852.3	-423025	20	0
1	30343.1	-370302	20	0
1	27296	-357380	21	0
1	25615.9	-343490	23	0
1	24256.7	-339871	24	0
1	23111.3	-322587	25	0
1	19842.7	-168036	25	0
1	18445.4	-174199	26	0
1	17690.6	-201339	24	0
1	16872.9	-373143	22	0
1	16026.3	-441929	20	0
1	15209.9	-453453	19	0
1	6919.98	-438714	18	0
1	4153.27	-456092	17	0
1	4153.27	-439718	17	0
1	4153.27	-452884	16	0
1	4153.27	-434310	16	0
1	4153.27	-451773	14	0
1	4153.27	-443026	12	0
1	4153.27	-459886	10	0
1	4153.27	-471285	9	0
1	4153.27	-505223	9	0
1	4153.27	-517359	8	0
1	4153.27	-580651	8	0
1	13452.3	-552043	8	0
1	14506.9	-482871	8	0
1	13073.9	-445967	9	0
1	12339.9	-432245	11	0
1	11685	-436890	12	0
1	11133.1	-407503	13	0
1	9461.3	-232079	14	0
1	8784.07	-242541	15	0
1	8509.67	-256526	13	0
1	8310.4	-479435	12	0
1	8124.19	-494074	10	0
1	7940.59	-489410	8	0
1	5107.1	-444455	7	0
1	4153.27	-434871	5	0
1	4153.27	-446785	4	0
1	4153.27	-494011	2	0
1	4153.27	-506202	1	0
